ID LIGA,NOME LIGA,País,Confederação,temporada,id_temporada
384,Serie A,Itália,UEFA,10_11,1579
384,Serie A,Itália,UEFA,11_12,1580
384,Serie A,Itália,UEFA,14_15,1583
384,Serie A,Itália,UEFA,12_13,1581
384,Serie A,Itália,UEFA,15_16,1584
806,Premier League,África do Sul,,18_19,13140
384,Serie A,Itália,UEFA,16_17,802
384,Serie A,Itália,UEFA,17_18,8557
806,Premier League,África do Sul,,19_20,16265
806,Premier League,África do Sul,,20_21,17679
384,Serie A,Itália,UEFA,05_06,1574
384,Serie A,Itália,UEFA,06_07,1575
384,Serie A,Itália,UEFA,13_14,1582
384,Serie A,Itália,UEFA,07_08,1576
384,Serie A,Itália,UEFA,08_09,1577
806,Premier League,África do Sul,,21_22,18728
384,Serie A,Itália,UEFA,09_10,1578
806,Premier League,África do Sul,,22_23,14
806,Premier League,África do Sul,,23_24,21998
806,Premier League,África do Sul,,24_25,24168
8,Premier League,Reino Unido,UEFA,05_06,1586
82,Bundesliga,Alemanha,,18_19,13005
82,Bundesliga,Alemanha,,19_20,16264
648,Brasileirão,Brasil,,05_05,2269
82,Bundesliga,Alemanha,,20_21,17361
8,Premier League,Reino Unido,UEFA,03_04,24256
8,Premier League,Reino Unido,UEFA,01_02,24262
8,Premier League,Reino Unido,UEFA,00_01,24263
8,Premier League,Reino Unido,UEFA,02_03,24261
8,Premier League,Reino Unido,UEFA,04_05,24255
8,Premier League,Reino Unido,UEFA,17_18,6397
82,Bundesliga,Alemanha,,21_22,18444
82,Bundesliga,Alemanha,,22_23,19744
82,Bundesliga,Alemanha,,23_24,21795
8,Premier League,Reino Unido,UEFA,10_11,2
8,Premier League,Reino Unido,UEFA,13_14,3
8,Premier League,Reino Unido,UEFA,08_09,6
8,Premier League,Reino Unido,UEFA,12_13,7
8,Premier League,Reino Unido,UEFA,06_07,8
8,Premier League,Reino Unido,UEFA,11_12,9
8,Premier League,Reino Unido,UEFA,15_16,10
8,Premier League,Reino Unido,UEFA,09_10,11
8,Premier League,Reino Unido,UEFA,14_15,12
8,Premier League,Reino Unido,UEFA,16_17,13
8,Premier League,Reino Unido,UEFA,07_08,14
944,Pro League,Arábia Saudita,,18_19,12941
301,Ligue 1,França,UEFA,05_06,1380
301,Ligue 1,França,UEFA,16_17,765
301,Ligue 1,França,UEFA,11_12,1386
944,Pro League,Arábia Saudita,,19_20,16430
944,Pro League,Arábia Saudita,,20_21,17654
301,Ligue 1,França,UEFA,12_13,1387
301,Ligue 1,França,UEFA,06_07,1381
301,Ligue 1,França,UEFA,08_09,1383
944,Pro League,Arábia Saudita,,23_24,22031
301,Ligue 1,França,UEFA,15_16,1390
301,Ligue 1,França,UEFA,10_11,1385
944,Pro League,Arábia Saudita,,21_22,18626
301,Ligue 1,França,UEFA,07_08,1382
301,Ligue 1,França,UEFA,17_18,6405
301,Ligue 1,França,UEFA,09_10,1384
301,Ligue 1,França,UEFA,13_14,1388
944,Pro League,Arábia Saudita,,22_23,20310
301,Ligue 1,França,UEFA,14_15,1389
944,Pro League,Arábia Saudita,,24_25,23970
636,Liga Profesional de Fútbol,Argentina,,18_19,13124
1356,A-League Men,Austrália,,23_24,22535
564,La Liga,Espanha,,17_18,8442
564,La Liga,Espanha,,16_17,853
564,La Liga,Espanha,,14_15,2061
636,Liga Profesional de Fútbol,Argentina,,19_20,16361
636,Liga Profesional de Fútbol,Argentina,,20_21,17708
564,La Liga,Espanha,,06_07,2053
564,La Liga,Espanha,,15_16,2063
564,La Liga,Espanha,,07_08,2054
564,La Liga,Espanha,,12_13,2059
564,La Liga,Espanha,,08_09,2055
1356,A-League Men,Austrália,,05_06,6191
564,La Liga,Espanha,,05_06,2052
564,La Liga,Espanha,,13_14,2060
564,La Liga,Espanha,,11_12,2057
564,La Liga,Espanha,,09_10,2058
564,La Liga,Espanha,,10_11,2056
1356,A-League Men,Austrália,,06_07,6192
1356,A-League Men,Austrália,,07_08,6193
1356,A-League Men,Austrália,,08_09,6194
462,Liga Portugal,Portugal,,05_06,1853
462,Liga Portugal,Portugal,,08_09,1855
1356,A-League Men,Austrália,,09_10,6195
462,Liga Portugal,Portugal,,15_16,1863
462,Liga Portugal,Portugal,,14_15,1862
462,Liga Portugal,Portugal,,16_17,816
1356,A-League Men,Austrália,,10_11,6196
462,Liga Portugal,Portugal,,10_11,1858
462,Liga Portugal,Portugal,,09_10,1857
462,Liga Portugal,Portugal,,13_14,1861
648,Brasileirão,Brasil,,06_06,2270
462,Liga Portugal,Portugal,,06_07,1854
462,Liga Portugal,Portugal,,07_08,1856
462,Liga Portugal,Portugal,,11_12,1859
462,Liga Portugal,Portugal,,17_18,8201
462,Liga Portugal,Portugal,,12_13,1860
830,Premier League,Egito,,18_19,13129
830,Premier League,Egito,,19_20,16647
830,Premier League,Egito,,20_21,17800
830,Premier League,Egito,,21_22,19052
830,Premier League,Egito,,22_23,20827
648,Brasileirão,Brasil,,07_07,2271
830,Premier League,Egito,,23_24,22656
743,Liga MX,México,,16_17,909
564,La Liga,Espanha,,18_19,13133
564,La Liga,Espanha,,19_20,16326
743,Liga MX,México,,14_15,2468
743,Liga MX,México,,17_18,6411
743,Liga MX,México,,08_09,2462
743,Liga MX,México,,05_06,2459
743,Liga MX,México,,09_10,2463
743,Liga MX,México,,07_08,2461
743,Liga MX,México,,10_11,2464
743,Liga MX,México,,11_12,2465
743,Liga MX,México,,15_16,2469
743,Liga MX,México,,13_14,2467
743,Liga MX,México,,12_13,2466
